fusion,lambda_id,domain,R_ID@1,R_ID@3,R_ID@5,R@1,R@5,R@10,R@50
0.0,0.0,Car,77.18906860011154,94.7016174010039,97.60178471834914,51.70105695724487,90.40713906288147,96.31901979446411,99.77691173553467
0.0,0.0,Fashion,75.51303383250139,87.7149195784803,91.04270660011092,65.61286449432373,85.41319966316223,90.95951318740845,97.19911217689514
0.0,0.0,Landmark,81.55824218000383,93.57129149875264,96.48819804260219,57.66647458076477,91.42199158668518,95.66302299499512,99.481862783432
0.1,0.0,Car,77.85833798103737,95.0920245398773,97.76910206358059,52.03569531440735,90.40713906288147,96.43056392669678,99.77691173553467
0.1,0.0,Fashion,76.98280643372158,88.96283971159178,92.45701608430393,66.55573844909668,86.82751059532166,91.65279865264893,97.19911217689514
0.1,0.0,Landmark,82.53694108616388,93.97428516599501,96.8144310113222,58.011895418167114,91.6522741317749,95.91249227523804,99.481862783432
0.1,0.25,Car,77.96988287785834,95.11991076408253,97.74121583937536,52.063578367233276,90.37925004959106,96.43056392669678,99.77691173553467
0.1,0.25,Fashion,77.26012201885746,89.18469217970049,92.59567387687187,66.66666865348816,86.91070675849915,91.73599481582642,97.19911217689514
0.1,0.25,Landmark,82.70965265783919,94.05104586451736,96.85281136058337,58.050280809402466,91.6522741317749,96.02763652801514,99.481862783432
0.1,0.5,Car,77.99776910206359,95.20356943669827,97.74121583937536,52.03569531440735,90.43502807617188,96.43056392669678,99.77691173553467
0.1,0.5,Fashion,77.6483638380477,89.35108153078203,92.62340543538546,66.97171330451965,86.96616888046265,91.84691905975342,97.19911217689514
0.1,0.5,Landmark,82.80560353099213,94.18537708693148,96.89119170984456,58.069467544555664,91.74822568893433,96.10439538955688,99.481862783432
0.1,0.75,Car,78.10931399888456,95.23145566090352,97.74121583937536,52.11935043334961,90.51868319511414,96.43056392669678,99.77691173553467
0.1,0.75,Fashion,77.95341098169717,89.51747088186356,92.84525790349417,67.19356775283813,87.07709312438965,91.93011522293091,97.19911217689514
0.1,0.75,Landmark,82.93993475340625,94.28132796008444,96.96795240836693,57.97351598739624,91.7866051197052,96.18115425109863,99.481862783432
0.2,0.0,Car,78.24874511991077,95.37088678192973,97.74121583937536,52.09146738052368,90.49080014228821,96.40267491340637,99.77691173553467
0.2,0.0,Fashion,78.45257903494176,89.54520244037715,93.0116472545757,67.63727068901062,87.21575140953064,92.15196967124939,97.19911217689514
0.2,0.0,Landmark,83.2085971982345,94.49241988102092,97.02552293225868,57.97351598739624,91.74822568893433,96.2195336818695,99.481862783432
0.2,0.25,Car,78.41606246514222,95.42665923034022,97.74121583937536,52.25878357887268,90.43502807617188,96.51421904563904,99.77691173553467
0.2,0.25,Fashion,78.81308929561841,89.98890737659457,93.15030504714365,67.66500473022461,87.40987181663513,92.42928624153137,97.19911217689514
0.2,0.25,Landmark,83.5732105162157,94.5308002302821,97.12147380541163,57.91594982147217,91.88255667686462,96.31548523902893,99.481862783432
0.2,0.5,Car,78.63915225878416,95.4824316787507,97.71332961517011,52.11935043334961,90.37925004959106,96.43056392669678,99.77691173553467
0.2,0.5,Fashion,79.42318358291736,90.65446478092069,93.53854686633389,67.9700493812561,87.8813087940216,92.67886877059937,97.19911217689514
0.2,0.5,Landmark,84.03377470734983,94.62675110343504,97.1790443293034,57.935136556625366,91.88255667686462,96.39225006103516,99.481862783432
0.2,0.75,Car,78.83435582822086,95.4824316787507,97.74121583937536,52.11935043334961,90.32347798347473,96.54210805892944,99.77691173553467
0.2,0.75,Fashion,80.11647254575706,90.8485856905158,93.732667775929,68.33056211471558,88.04770112037659,92.92845129966736,97.19911217689514
0.2,0.75,Landmark,84.37919785070044,94.83784302437152,97.21742467856458,57.877564430236816,91.94012880325317,96.41143679618835,99.481862783432
0.3,0.0,Car,78.63915225878416,95.45454545454545,97.76910206358059,52.03569531440735,90.43502807617188,96.56999707221985,99.77691173553467
0.3,0.0,Fashion,79.36772046589017,90.6267332224071,93.45535219079312,67.8036630153656,87.74265050888062,92.78979301452637,97.19911217689514
0.3,0.0,Landmark,84.18729610439455,94.72270197658798,97.25580502782574,58.10784697532654,91.95931553840637,96.41143679618835,99.481862783432
0.3,0.25,Car,79.02955939765755,95.53820412716118,97.76910206358059,52.00780630111694,90.32347798347473,96.40267491340637,99.77691173553467
0.3,0.25,Fashion,80.255130338325,91.07043815862451,93.81586245146978,68.44148635864258,87.8813087940216,93.01164746284485,97.19911217689514
0.3,0.25,Landmark,84.6286701208981,94.89541354826329,97.31337555171751,57.89675712585449,92.0360803604126,96.4881956577301,99.481862783432
0.3,0.5,Car,79.08533184606804,95.59397657557167,97.79698828778584,51.89626216888428,90.4629111289978,96.48633599281311,99.77691173553467
0.3,0.5,Fashion,80.80976150859678,91.34775374376039,94.12090959511926,68.66334080696106,88.10316324234009,93.28896403312683,97.19911217689514
0.3,0.5,Landmark,85.10842448666283,95.14488581846095,97.48608712339283,57.78161287307739,92.07445979118347,96.4881956577301,99.481862783432
0.3,0.75,Car,79.3920803123257,95.51031790295595,97.90853318460681,51.979923248291016,90.4629111289978,96.48633599281311,99.77691173553467
0.3,0.75,Fashion,81.33666112035498,91.65280088740987,94.50915141430949,68.85746121406555,88.43594193458557,93.48308444023132,97.19911217689514
0.3,0.75,Landmark,85.56898867779697,95.31759739013626,97.524467472654,57.704854011535645,92.07445979118347,96.56496047973633,99.481862783432
