fusion,lambda_id,official_arithmetic,early_retrieval_score,mean_R_ID@1,mean_R_ID@3,mean_R_ID@5,mean_R@1,mean_R@5,mean_R@10,mean_R@50
0.3,0.75,86.04231824477513,74.9192585547765,82.09924337015921,94.16023872683404,96.64738402385677,59.5140794912974,90.32443761825562,95.51146030426025,98.81929556528728
0.3,0.5,85.97526103258133,74.83029166857402,81.66783928044255,94.02887204593101,96.46799500209931,59.44707194964091,90.21351138750713,95.42116522789001,98.81929556528728
0.2,0.75,85.91488897800446,74.77313081423442,81.11000874155945,93.72295346454602,96.23043609795631,59.44249232610067,90.10376930236816,95.29399871826172,98.81929556528728
0.3,0.25,85.91227680444719,74.7644861539205,81.30445328562689,93.83468527801632,96.29944668892263,59.44868326187134,90.08028904596965,95.30083934466045,98.81929556528728
0.3,0.0,85.8594427506129,74.68069990475973,80.73138960968963,93.60132688451351,96.1600864273998,59.31573510169983,90.04566470781963,95.25707562764485,98.81929556528728
0.2,0.5,85.84393511215846,74.69460864861806,80.69870351635045,93.58788252103547,96.14364027026913,59.34151212374369,90.04770517349243,95.16722758611043,98.81929556528728
0.2,0.25,85.77367266019186,74.59453245004019,80.26745409232545,93.31545561240563,96.00433156397689,59.27991271018982,89.90915218989055,95.08633017539978,98.81929556528728
0.2,0.0,85.6990913550059,74.52617188294728,79.96997378436235,93.13616970110927,95.92612867540326,59.234084685643516,89.81825908025105,94.92472608884175,98.81929556528728
0.1,0.75,85.63904464244844,74.44480260213217,79.66755324466266,93.01008483428386,95.8514753837455,59.09547805786133,89.794127146403,94.84727780024211,98.81929556528728
0.1,0.5,85.58883865674338,74.37104980150859,79.48391215703447,92.91334268480394,95.75193766153512,59.02562538782755,89.71647421518962,94.79395945866902,98.81929556528728
0.1,0.25,85.53123672803244,74.28712646166484,79.31321918485166,92.78521626943348,95.72990035894354,58.9268426100413,89.64741031328838,94.73139842351277,98.81929556528728
0.1,0.0,85.49533287684123,74.24837549527487,79.12602850030761,92.67638313915471,95.6801830530689,58.86777639389038,89.62897459665935,94.66528495152791,98.81929556528728
0.0,0.0,85.13518075148265,73.70378772417703,78.08678153753893,91.99594282607895,95.04422978702075,58.32679867744446,89.08077677090962,94.31385199228923,98.81929556528728
