fusion,lambda_id,text_weight,cycle_weight,domain,R_ID@1,R_ID@3,R_ID@5,R@1,R@5,R@10,R@50
0.4,1.0,0.25,0.0,Car,79.4478527607362,95.4824316787507,98.1037367540435,51.366424560546875,90.01673460006714,96.23535871505737,99.77691173553467
0.4,1.0,0.25,0.0,Fashion,82.55684969495286,92.5124792013311,95.2024403771492,68.49694848060608,88.96284103393555,93.39988827705383,97.19911217689514
0.4,1.0,0.25,0.0,Landmark,86.52849740932642,95.66302053348686,97.73555939359048,56.246399879455566,92.13202595710754,96.58414721488953,99.481862783432
0.4,1.0,0.25,0.1,Car,79.33630786391522,95.4824316787507,98.1037367540435,51.31065249443054,90.04461765289307,96.26324772834778,99.77691173553467
0.4,1.0,0.25,0.1,Fashion,82.47365501941209,92.5402107598447,95.23017193566278,68.46922039985657,88.96284103393555,93.28896403312683,97.19911217689514
0.4,1.0,0.25,0.1,Landmark,86.49011706006524,95.70140088274803,97.73555939359048,56.188833713531494,92.11283922195435,96.6033399105072,99.481862783432
0.4,1.0,0.25,0.25,Car,79.19687674288902,95.45454545454545,98.07585052983826,51.366424560546875,89.96095657348633,96.26324772834778,99.77691173553467
0.4,1.0,0.25,0.25,Fashion,82.39046034387133,92.5124792013311,95.17470881863561,68.30282807350159,88.82418274879456,93.34442615509033,97.19911217689514
0.4,1.0,0.25,0.25,Landmark,86.52849740932642,95.70140088274803,97.7163692189599,56.32316470146179,92.11283922195435,96.54576778411865,99.481862783432
0.4,1.0,0.5,0.0,Car,79.3920803123257,95.45454545454545,98.07585052983826,51.42219662666321,89.98884558677673,96.31901979446411,99.77691173553467
0.4,1.0,0.5,0.0,Fashion,82.41819190238492,92.40155296727676,95.23017193566278,68.13644170761108,88.71325850486755,93.45535039901733,97.19911217689514
0.4,1.0,0.5,0.0,Landmark,86.43254653617348,95.62464018422567,97.6971790443293,56.054502725601196,92.11283922195435,96.54576778411865,99.481862783432
0.4,1.0,0.5,0.1,Car,79.33630786391522,95.53820412716118,98.04796430563302,51.33854150772095,89.98884558677673,96.31901979446411,99.77691173553467
0.4,1.0,0.5,0.1,Fashion,82.44592346089851,92.37382140876316,95.34109816971714,68.1087076663971,88.85191082954407,93.45535039901733,97.19911217689514
0.4,1.0,0.5,0.1,Landmark,86.4133563615429,95.5862598349645,97.7163692189599,56.073689460754395,92.11283922195435,96.52658104896545,99.481862783432
0.4,1.0,0.5,0.25,Car,79.0574456218628,95.53820412716118,98.04796430563302,51.28276348114014,89.87730145454407,96.34690284729004,99.77691173553467
0.4,1.0,0.5,0.25,Fashion,82.36272878535775,92.2906267332224,95.34109816971714,68.0532455444336,88.93510699272156,93.34442615509033,97.19911217689514
0.4,1.0,0.5,0.25,Landmark,86.54768758395701,95.62464018422567,97.73555939359048,56.32316470146179,92.11283922195435,96.50738835334778,99.481862783432
0.4,1.0,0.75,0.0,Car,79.2526491912995,95.39877300613497,98.13162297824874,51.25488042831421,89.7657573223114,96.31901979446411,99.77691173553467
0.4,1.0,0.75,0.0,Fashion,82.2240709927898,92.2906267332224,95.17470881863561,67.8591251373291,88.63006234169006,93.31669211387634,97.19911217689514
0.4,1.0,0.75,0.0,Landmark,86.43254653617348,95.5862598349645,97.67798886969872,56.131261587142944,92.07445979118347,96.52658104896545,99.481862783432
0.4,1.0,0.75,0.1,Car,79.22476296709425,95.4824316787507,98.13162297824874,51.11544728279114,89.737868309021,96.31901979446411,99.77691173553467
0.4,1.0,0.75,0.1,Fashion,82.25180255130338,92.2906267332224,95.2024403771492,67.99778342247009,88.68552446365356,93.34442615509033,97.19911217689514
0.4,1.0,0.75,0.1,Landmark,86.3941661869123,95.56706966033391,97.6971790443293,56.188833713531494,92.0552670955658,96.50738835334778,99.481862783432
0.4,1.0,0.75,0.25,Car,79.11321807027328,95.53820412716118,98.13162297824874,51.17121934890747,89.737868309021,96.2911307811737,99.77691173553467
0.4,1.0,0.75,0.25,Fashion,82.30726566833056,92.17970049916805,95.23017193566278,68.0255115032196,88.85191082954407,93.28896403312683,97.19911217689514
0.4,1.0,0.75,0.25,Landmark,86.35578583765113,95.60545000959509,97.75474956822107,56.188833713531494,92.09364652633667,96.54576778411865,99.481862783432
0.4,1.0,1.0,0.0,Car,79.28053541550474,95.51031790295595,98.04796430563302,51.059675216674805,89.570552110672,96.20747566223145,99.77691173553467
0.4,1.0,1.0,0.0,Fashion,81.94675540765391,92.06877426511369,95.11924570160843,67.60954260826111,88.71325850486755,93.28896403312683,97.19911217689514
0.4,1.0,1.0,0.0,Landmark,86.3749760122817,95.47111878718097,97.67798886969872,56.26559257507324,91.99769496917725,96.50738835334778,99.481862783432
0.4,1.0,1.0,0.1,Car,79.16899051868377,95.56609035136643,98.1037367540435,50.976020097732544,89.68209624290466,96.23535871505737,99.77691173553467
0.4,1.0,1.0,0.1,Fashion,82.05768164170827,92.01331114808652,95.14697726012203,67.63727068901062,88.76872062683105,93.23350191116333,97.19911217689514
0.4,1.0,1.0,0.1,Landmark,86.3941661869123,95.52868931107274,97.6971790443293,56.361544132232666,91.95931553840637,96.50738835334778,99.481862783432
0.4,1.0,1.0,0.25,Car,78.94590072504182,95.62186279977692,98.1037367540435,50.80869793891907,89.65421319007874,96.23535871505737,99.77691173553467
0.4,1.0,1.0,0.25,Fashion,82.05768164170827,92.09650582362728,95.17470881863561,67.63727068901062,88.68552446365356,93.17803382873535,97.19911217689514
0.4,1.0,1.0,0.25,Landmark,86.27902513912876,95.56706966033391,97.67798886969872,56.22721314430237,91.97850823402405,96.56496047973633,99.481862783432
