fusion,lambda_id,text_weight,cycle_weight,early_retrieval_score,official_arithmetic,mean_R_ID@1,mean_R_ID@3,mean_R_ID@5,mean_R@1,mean_R@5,mean_R@10,mean_R@50
0.4,1.0,0.25,0.0,74.53689575195312,85.82488795121512,82.84439995500516,94.5526438045229,97.01391217492773,58.70325764020284,90.37053386370341,95.40646473566692,98.81929556528728
0.4,1.0,0.25,0.1,74.51483408610027,85.80853690703711,82.76669331446419,94.57468110711447,97.0231560277656,58.65623553593954,90.37343263626099,95.3851838906606,98.81929556528728
0.4,1.0,0.25,0.25,74.48173264662425,85.79181035359701,82.70527816536224,94.5561418462082,96.9889761891446,58.664139111836754,90.29932618141174,95.38448055585225,98.81929556528728
0.4,1.0,0.5,0.25,74.43073689937592,85.77008545398712,82.65595399705919,94.48449034820307,97.04154062298021,58.55305790901184,90.30841588973999,95.39957245190938,98.81929556528728
0.4,1.0,0.5,0.1,74.41242237885793,85.76944768428802,82.73186256211888,94.49942845696295,97.03514389810334,58.50697954495748,90.31786521275838,95.43365041414897,98.81929556528728
0.4,1.0,0.5,0.0,74.40468072891235,85.76717575391135,82.7476062502947,94.49357953534928,97.00106716994344,58.53771368662516,90.27164777119954,95.44004599253337,98.81929556528728
0.4,1.0,0.75,0.25,74.34483170509338,85.72106162707011,82.59208985875165,94.44111821197477,97.03884816071087,58.46185485521952,90.22780855496724,95.3752875328064,98.81929556528728
0.4,1.0,0.75,0.1,74.29678738117218,85.70078710714976,82.62357723510331,94.44670935743568,97.01041413324242,58.43402147293091,90.15955328941345,95.39027810096741,98.81929556528728
0.4,1.0,0.75,0.0,74.28592443466187,85.69464385509491,82.63642224008758,94.4252198581073,96.99477355552769,58.41508905092875,90.15675981839497,95.38743098576863,98.81929556528728
0.4,1.0,1.0,0.1,74.230827887853,85.65159191687903,82.54027944910145,94.36936360350857,96.98263101949827,58.32494497299194,90.13671080271403,95.32541632652283,98.81929556528728
0.4,1.0,1.0,0.0,74.20271933078766,85.63983589410782,82.53408894514679,94.35007031841685,96.94839962564673,58.311603466669716,90.0938351949056,95.33460934956868,98.81929556528728
0.4,1.0,1.0,0.25,74.1652379433314,85.61897228161494,82.42753583529294,94.4284794279127,96.98547814745928,58.224393924077354,90.10608196258545,95.32611767450969,98.81929556528728
